id,mainImage,marker,locationName,address,locationLink,price,price-sqft,area-sqft,acres,link,documents,latitude,longitude,locationType,numImages,image,bedrooms
london-1,1-Hanover-1.jpg,,1 Hanover Terrace,"1 Hanover Terrace, London, England, NW1 4RJ United Kingdom",https://goo.gl/maps/KYojw45qWgg57Kx58,"£29,000,000","£5,282","5,490",0.15,https://www.sothebysrealty.com/eng/sales/detail/180-l-691-wxgef9/1-hanover-terrace-london-en-nw1-4rj,,51.527311,-0.162193,,10,1-Hanover,6
london-5,Tregunter-Road.jpg,,6 Tregunter Road,6 Tregunter Road London SW10,https://goo.gl/maps/3xGTQhS6RY4HKgvAA,"£30,000,000","£4,081","7,351",,https://www.struttandparker.com/properties/tregunter-road-11,,51.48784134,-0.184418042,,,,7
london-13,Eaton-Square.jpg,,Eaton Square,"Eaton Square, London, SW1W 9AA",https://goo.gl/maps/XeCBzf8SfaUFAwfU7,"£39,500,000","£3,721","10,616",,https://search.savills.com/gg/en/property-detail/gbkbhsslh180023,,51.49671246,-0.151204115,,,,10
london-14,Walton-Street.jpg,,Walton Street,"Walton Street & Pont Street Mews, London SW3 1SA, UK",https://goo.gl/maps/qqFU1zbiKf2PuHyd6,"£39,500,000","£3,173","12,449",,https://search.savills.com/gg/en/property-detail/gbsshsslh210002,"[[""Brochure"",""St Saviours House - Brochure - 2020.pdf""]]",51.49780656,-0.162567673,,,,7
london-16,Cadogan-Place.jpg,,Cadogan Place,"Cadogan Place, Knightsbridge, London, SW1X 9RU",https://goo.gl/maps/PLoKWk25rh3Fv34T9,"£32,500,000","£4,091","7,944",,https://search.savills.com/gg/en/property-detail/gbkbhsknh210118,,51.49824285,-0.159269774,no street number,,,7
london-18,Cadogan-Square.jpg,,Cadogan Square,"Cadogan Square, London SWIX OHX, UK",https://goo.gl/maps/njDocQ8TvDUeiMiE8,"£26,950,000","£4,578","5,887",,https://search.savills.com/gg/en/property-detail/gbsshsslh190163,,51.49461867,-0.159855727,no street number,,,6
london-20,Holland-Park.jpg,,Holland Park,"Holland Park, London, W11 3RS",https://goo.gl/maps/aPhYA7pK1z3dW4NS9,N/A,N/A,"9,542",,https://search.savills.com/gg/en/property-detail/gbkehsnoh190047,,51.50587297,-0.207796066,no street number,,,9
london-31,The-Glebe.jpg,,The Glebe,"36a Glebe Pl, London SW3 5JP, United Kingdom",https://goo.gl/maps/Th8HMRrmAhL6dGWf9,Price on Application,N/A,"5,209 - 20,558",,https://www.knightfrank.co.uk/properties/residential/for-sale/the-glebe-glebe-place-chelsea-london-sw3/prd012002167,"[[""Brochure"",""The Glebe.pdf""]]",51.48484086,-0.170912129,,,,?
london-36,60-Curzon.jpg,,60 Curzon,"60 Curzon, Mayfair, London, W1J 8PB",https://goo.gl/maps/z6SGiRkPXz5D4PBaA,Price on Application,N/A,N/A,,https://search.savills.com/gg/en/property-detail/gblhrdlad191416,,51.50754603,-0.145119172,,,,? Penthouse
london-42,Pitt-Street.jpg,,Pitt Street,"Pitt Street, Kensington, London W8 ",https://goo.gl/maps/E6aEGa8RGsCBKKvS9,Price on Application,N/A,"11,010",,https://www.beauchamp.com/house-sale-pitt-street-w8-lob0625,,51.50357211,-0.1939996,,,,7
